Annova gene	Phenotype MIM number
NF2	"神经纤维瘤2型(101000,AD)"
FGFR2	"Apert综合征(101200,AD);Saethre-Chotzen综合征(101400,AD);Pfeiffer综合征(101600,AD);Crouzon综合征(123500,AD);LADD综合征(149730,AD)"
TWIST1	"Saethre-Chotzen综合征(101400,AD)"
FGFR1	"Pfeiffer综合征(101600,AD)"
TP63	"ADULT综合征(103285,AD);四肢-乳腺综合征(603543,AD)"
TYR	"Waardenburg综合征伴眼白化病(103470,AD);眼皮肤白化病1A型(203100,AR);眼皮肤白化病1B型(606952,AR)"
MITF	"Waardenburg综合征伴眼白化病(103470,AD);Tietz白化病-耳聋综合征(103500,AD);Waardenburg综合征2A型(193510,AD)"
GNAS	"假性甲状旁腺功能减退症IA型(103580,AD);假性甲状旁腺功能减退症IB型(603233,AD);假性甲状旁腺功能减退症IC型(612462,AD);假性假甲状旁腺功能减退症(612463,AD)"
COL4A3	"遗传性肾炎AD型(104200,AD);遗传性肾炎AR型(203780,AR)"
PAX6	"无虹膜1型(106210,AD);眼缺损AD型(120200,AD);牵牛花综合征(120430,AD);视网膜凹发育不良1型(136520,AD);遗传性角膜炎(148190,AD);视神经发育不全(165550,AD);眼前节发育不全5型(604229,AD)"
PITX3	"眼前节发育不全1型(107250,AD);白内障11型(610623,AD)"
COL2A1	"Stickler综合征1型(108300,AD);Stickler综合征1型(609508,AD)"
VAMP1	"痉挛性共济失调1型(108600,AD)"
TEAD1	"视网膜脉络膜萎缩Sveinsson型(108985,AD)"
ATXN3	"脊髓小脑共济失调3型(109150,AD)"
PTCH2	"基底细胞痣综合征(109400,AD)"
PTCH1	"基底细胞痣综合征(109400,AD)"
SUFU	"基底细胞痣综合征(109400,AD)"
FOXL2	"小睑裂、内眦赘皮伴上睑下垂(110100,AD)"
SLC24A5	"眼皮肤白化病6型(113750,AR)"
CRYGD	"白内障4型(115700,AD)"
CRYBA2	"白内障42型(115900,AD)"
CRYGS	"白内障20型(116100,AD)"
GJA8	"白内障1型(116200,AD)"
VIM	"白内障30型(116300,AD)"
WFS1	"白内障41型(116400,AD);Wolfram综合征1型(222300,AR);Wolfram样综合征(614296,AD)"
EPHA2	"白内障6型(116600,AD)"
GCNT2	"白内障13型(116700,AR)"
HSF4	"白内障5型(116800,AD)"
KRIT1	"海绵状血管畸形1型(116860,AD)"
RYR1	"中央轴空病(117000,AD,?AR)"
BEAN1	"脊髓小脑共济失调31型(117210,AD)"
ITPR1	"脊髓小脑共济失调29型(117360,AD);Gillespie综合征(206700,AR);脊髓小脑共济失调15型(606658,AD)"
NSD1	"Sotos综合征1型(117550,AD)"
JAG1	"Alagille综合征1型(118450,AD)"
IRF6	"腘翼状胬肉综合征(119500,AD)"
PAX2	"Papillorenal综合征(120330,AD)"
CRX	"视杆视锥营养不良2型(120970,AD);Leber先天性黑矇7型(613829,AR)"
UBIAD1	"角膜营养不良Schnyder型(121800,AD)"
TGFBI	"角膜营养不良上皮基底膜(121820,AD);角膜营养不良颗粒状1型(121900,AD);角膜营养不良格子状1型(122200,AD);角膜营养不良Thiel-Behnke型(602082,AD);Avellino型角膜营养不良(607541,AD);雷-布二氏角膜营养不良(608470,AD);格子状角膜营养不良3A型(608471,AD)"
PIKFYVE	"角膜营养不良斑点状(121850,AD)"
OVOL2	"角膜内皮营养不良(122000,AD)"
KRT3	"角膜营养不良Meesmann(122100,AD)"
KRT12	"角膜营养不良Meesmann(122100,AD)"
COL17A1	"上皮性复发性糜烂性营养不良(122400,AD)"
