Annova	Phenotype
A2M	"阿尔茨海默病1型(104300,AD)"
AAAS	"Achalasia-Addisonianism-Alacrima 综合征(231550,AR)"
AARS	"轴突性腓骨肌萎缩症2N型(613287,AD);早期幼儿癫痫性脑病29型(616339,AR)"
AARS2	"氧化磷酸化结合障碍性疾病8型(614096,AR);进行性脑白质病合并卵巢衰竭(615889,AR)"
AASS	"高赖氨酸血症I型(238700,AR)"
ABAT	"γ-氨基丁酸氨基转移酶缺乏症(613163,AR)"
ABCA1	"Tangier病(205400,AR)"
ABCB7	"遗传性铁粒幼细胞贫血伴脊髓小脑共济失调(301310,XLR)"
ABCC6	"弹性纤维性假黄瘤(264800,AR);弹性纤维性假黄瘤(顿挫型)(177850,AD)"
ABCC8	"新生儿永久性糖尿病(606176,AD);家族性高胰岛素性低血糖症1型(256450,AD,AR);亮氨酸诱导性低血糖症(240800,AD)"
ABCC9	"扩张型心肌病1O型(608569,AD);Cautu综合征(239850,AD)"
ABCD1	"肾上腺脑白质营养不良(300100,XLR)"
ABCD4	"甲基丙二酸尿症合并高胱氨酸尿症(cblJ型）(614857,AR)"
ABHD12	"PHARC综合征(612674,AR)"
ABHD5	"Chanarin-Dorfman综合征(275630,AR)"
ACAD9	"乙酰辅酶A脱氢酶9缺乏症(611126,AR)"
ACADM	"中链乙酰辅酶A脱氢酶缺乏症(201450,AR)"
ACADS	"短链乙酰辅酶A脱氢酶缺乏症(201470,AR)"
ACADSB	"2-甲基丁酰辅酶A脱氢酶缺乏症(610006,AR)"
ACADVL	"极长链乙酰辅酶A脱氢酶缺乏症(201475,AR)"
ACAT1	"α-甲基乙酰乙酸尿症(203750,AR)"
ACD	"常染色体显性遗传先天性角化不良6型(616553,AD,?AR)"
ACO2	"婴儿小脑，视网膜变性病(614559,AR)"
ACOX1	"过氧化物酶酰基辅酶A氧化酶缺乏症(264470,AR)"
SPG21	"肥大综合征(248900,AR)"
ACP5	"脊椎软骨发育不全伴免疫失调(607944,AR)"
ACSL4	"X 连锁智力发育迟滞63型(300387,XLD)"
ACTA1	"纤维类型不相称型先天性肌病(255310,AD,AR);scapulohumeroperoneal肌病(616852,AD);线状体肌病3型(161800,AD,AR)"
ACTA2	"烟雾病5型(614042,AD);多系统平滑肌功能障碍综合征(613834,AD)"
ACTB	"Baraitser-Winter综合征1型(243310,AD);青少年肌张力障碍(607371,AD)"
ACTC1	"扩张型心肌病1R型(613424,AD);肥厚型心肌病11型(612098,AD)"
ACTG1	"Baraitser-Winter综合征2型(614583,AD)"
ACTN2	"扩张型心肌病1AA型(612158,AD)"
ACVR1	"进行性骨化性纤维发育不良(135100,AD)"
ACVRL1	"遗传性出血性毛细血管扩张症2型(600376,AD)"
ACY1	"氨基酰化酶1缺乏症(609924,AR)"
ADAMTS10	"Weill-Marchesani综合征1型(277600,AR)"
ADAMTS13	"血栓性血小板减少性紫癜(274150,AR)"
ADAMTS2	"常染色体隐性遗传埃莱尔-当洛综合征7型(225410,AR)"
ADAMTSL2	"geleophysic发育不良1型(231050,AR)"
ADAR	"Aicardi-Goutieres 综合征6型(615010,AR)"
