location	phenotype	pheno_mim	inherit	mapping_key	gene_related	gene_mim	annovar_gene
1q43	?Prune belly syndrome	100100	AR	3	CHRM3	118494	CHRM3
3q13.32-q13.33	Adams-Oliver syndrome 1	100300	AD	3	ARHGAP31	610911	ARHGAP31
4p16.3	Achondroplasia	100800	AD	3	FGFR3	134934	FGFR3
22q12.2	"Neurofibromatosis, type 2"	101000	AD	3	NF2	607379	NF2
10q26.13	Apert syndrome	101200	AD	3	FGFR2	176943	FGFR2
7p21.1	Saethre-Chotzen syndrome with or without eyelid anomalies	101400	AD	3	TWIST1	601622	TWIST1
10q26.13	Saethre-Chotzen syndrome	101400	AD	3	FGFR2	176943	FGFR2
8p11.23	Pfeiffer syndrome	101600	AD	3	FGFR1	136350	FGFR1
10q26.13	Pfeiffer syndrome	101600	AD	3	FGFR2	176943	FGFR2
10q26.13	Craniofacial-skeletal-dermatologic dysplasia	101600	AD	3	FGFR2	176943	FGFR2
17q24.2	"Acrodysostosis 1, with or without hormone resistance"	101800	AD	3	PRKAR1A	188830	PRKAR1A
12q24.11	Acrokeratosis verruciformis	101900	AD	3	ATP2A2	108740	ATP2A2
11q13.2	"Pituitary adenoma 1, multiple types"	102200	SMu	3	AIP	605555	AIP
15q21.1	Acromicric dysplasia	102370	AD	3	FBN1	134797	FBN1
1p12	Hajdu-Cheney syndrome	102500	AD	3	NOTCH2	600275	NOTCH2
3q26.31	?Spermatogenic failure 6	102530	AR	3	SPATA16	609856	SPATA16
20q13.12	"Adenosine deaminase deficiency, partial"	102700	SMo	3	ADA	608958	ADA
20q13.12	Severe combined immunodeficiency due to ADA deficiency	102700	SMo	3	ADA	608958	ADA
1q22	"Adenosine triphosphate, elevated, of erythrocytes"	102900	AD	3	PKLR	609712	PKLR
22q13.1	Adenylosuccinase deficiency	103050	AR	3	ADSL	608222	ADSL
3q28	ADULT syndrome	103285	AD	3	TP63	603273	TP63
3p13	"Waardenburg syndrome/ocular albinism, digenic"	103470	AD	3	MITF	156845	MITF
11q14.3	"Waardenburg syndrome/albinism, digenic"	103470	AD	3	TYR	606933	TYR
3p13	Tietz albinism-deafness syndrome	103500	AD	3	MITF	156845	MITF
20q13.32	Pseudohypoparathyroidism Ia	103580	AD	3	GNAS	139320	GNAS
4p12	"{Alcohol dependence, susceptibility to}"	103780	Mu	3	GABRA2	137140	GABRA2
4q23	"{Alcohol dependence, protection against}"	103780	Mu	3	ADH1B	103720	ADH1B
4q23	"{Alcohol dependence, protection against}"	103780	Mu	3	ADH1C	103730	ADH1C
7q31.32	"{Alcohol dependence, susceptibility to}"	103780	Mu	3	TAS2R16	604867	TAS2R16
13q14.2	"{Alcohol dependence, susceptibility to}"	103780	Mu	3	HTR2A	182135	HTR2A
8q24.3	"Aldosteronism, glucocorticoid-remediable"	103900	AD	3	CYP11B1	610613	CYP11B1
6q22.31	Palmoplantar keratoderma with congenital alopecia	104100	AD	3	GJA1	121014	GJA1
2q36.3	"Alport syndrome, autosomal dominant"	104200	AD	3	COL4A3	120070	COL4A3
1q23.2	Alternating hemiplegia of childhood 1	104290	AD	3	ATP1A2	182340	ATP1A2
6p22.2	"{Alzheimer disease, susceptibility to}"	104300	AD	3	HFE	613609	HFE
7q36.1	"{Alzheimer disease, late-onset, susceptibility to}"	104300	AD	3	NOS3	163729	NOS3
10q22.2	"{Alzheimer disease, late-onset, susceptibility to}"	104300	AD	3	PLAU	191840	PLAU
12p13.31	"{Alzheimer disease, susceptibility to}"	104300	AD	3	A2M	103950	A2M
17q22	"{Alzheimer disease, susceptibility to}"	104300	AD	3	MPO	606989	MPO
21q21.3	"Alzheimer disease 1, familial"	104300	AD	3	APP	104760	APP
19q13.32	Alzheimer disease-2	104310	AD	3	APOE	107741	APOE
4q13.3	"Amelogenesis imperfecta, type IB"	104500	AD	3	ENAM	606585	ENAM
17q21.33	"Amelogenesis imperfecta, type IV"	104510	AD	3	DLX3	600525	DLX3
1q32.2	"Amelogenesis imperfecta, type IA"	104530	AD	3	LAMB3	150310	LAMB3
9q33.2	"Amyloidosis, Finnish type"	105120	AD	3	GSN	137350	GSN
20p11.21	Cerebral amyloid angiopathy	105150	AD	3	CST3	604312	CST3
4q31.3	"Amyloidosis, familial visceral"	105200	AD	3	FGA	134820	FGA
11q23.3	"Amyloidosis, 3 or more types"	105200	AD	3	APOA1	107680	APOA1
12q15	"Amyloidosis, renal"	105200	AD	3	LYZ	153450	LYZ
15q21.1	"?Amyloidosis, familial visceral"	105200	AD	3	B2M	109700	B2M
18q12.1	"Amyloidosis, hereditary, transthyretin-related"	105210	AD	3	TTR	176300	TTR
5p13.1	"Amyloidosis, primary localized cutaneous, 1"	105250	AD	3	OSMR	601743	OSMR
2p13.1	"{Amyotrophic lateral sclerosis, susceptibility to}"	105400	AD	3	DCTN1	601143	DCTN1
12q13.12	"{Amyotrophic lateral sclerosis, susceptibility to}"	105400	AD	3	PRPH	170710	PRPH
21q22.11	Amyotrophic lateral sclerosis 1	105400	AD	3	SOD1	147450	SOD1
22q12.2	"?{Amyotrophic lateral sclerosis, susceptibility to}"	105400	AD	3	NEFH	162230	NEFH
15q21.2	"{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}"	105500	AD	3	TRPM7	605692	TRPM7
9p21.2	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	105550	AD	3	C9orf72	614260	C9orf72
19q13.2	Diamond-Blackfan anemia 1	105650	AD	3	RPS19	603474	RPS19
15q11.2	Angelman syndrome	105830	IC	3	UBE3A	601623	UBE3A
11q12.1	"Angioedema, hereditary, types I and II"	106100	AD	3	C1NH	606860	SERPING1
12p11.23	"?Anhidrosis, isolated, with normal sweat glands"	106190	AR	3	ITPR2	600144	ITPR2
11p13	Aniridia	106210	AD	3	PAX6	607108	PAX6
11p13	Cataract with late-onset corneal dystrophy	106210	AD	3	PAX6	607108	PAX6
3q28	Hay-Wells syndrome	106260	AD	3	TP63	603273	TP63
6p21.33	"{Spondyloarthropathy, susceptibility to, 1}"	106300	Mu	3	HLA-B	142830	HLA-B
4p16.2	"Tooth agenesis, selective, 1, with or without orofacial cleft"	106600	AD	3	MSX1	142983	MSX1
10q24.32	"Anterior segment dysgenesis 1, multiple subtypes"	107250	AD	3	PITX3	602669	PITX3
16q12.1	Townes-Brocks syndrome 1	107480	AD	3	SALL1	602218	SALL1
16q12.1	Townes-Brocks branchiootorenal-like syndrome	107480	AD	3	SALL1	602218	SALL1
10q11.21	"?Aplasia cutis congenita, nonsyndromic"	107600	AD	3	BMS1	611448	BMS1
14q24.3	Arrhythmogenic right ventricular dysplasia 1	107970	AD	3	TGFB3	190230	TGFB3
7p15.3	"{Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to}"	108010	AD	3	IL6	147620	IL6
9p13.3	"Arthrogryposis multiplex congenita, distal, type 1"	108120	AD	3	TPM2	190990	TPM2
18p11.22-p11.21	"Arthrogryposis, distal, type 5"	108145	AD	3	PIEZO2	613629	PIEZO2
12q13.11	"Stickler syndrome, type I"	108300	AD	3	COL2A1	120140	COL2A1
19p13.13	"Episodic ataxia, type 2"	108500	AD	3	CACNA1A	601011	CACNA1A
12p13.31	"Spastic ataxia 1, autosomal dominant"	108600	AD	3	VAMP1	185880	VAMP1
3p14.3	"Atelosteogenesis, type I"	108720	AD	3	FLNB	603381	FLNB
3p14.3	"Atelosteogenesis, type III"	108721	AD	3	FLNB	603381	FLNB
1q21.2	"Atrial standstill, digenic (GJA5/SCN5A)"	108770	AD	3	GJA5	121013	GJA5
5q35.1	"Atrial septal defect 7, with or without AV conduction defects"	108900	AD	3	NKX2-5	600584	NKX2-5
11p15.3	Sveinsson chorioretinal atrophy	108985	AD	3	TEAD1	189967	TEAD1
14q32.12	Machado-Joseph disease	109150	AD	3	ATXN3	607047	ATXN3
1p34.1	Basal cell nevus syndrome	109400	AD	3	PTCH2	603673	PTCH2
9q22.32	Basal cell nevus syndrome	109400	AD	3	PTCH1	601309	PTCH1
10q24.32	Basal cell nevus syndrome	109400	AD	3	SUFU	607035	SUFU
9q34.3	Aortic valve disease 1	109730	AD	3	NOTCH1	190198	NOTCH1
4p16.3	"Bladder cancer, somatic"	109800	None	3	FGFR3	134934	FGFR3
11p15.5	"{Bladder cancer, somatic}"	109800	None	3	HRAS	190020	HRAS
12p12.1	"Bladder cancer, somatic"	109800	None	3	KRAS	190070	KRAS
13q14.2	"Bladder cancer, somatic"	109800	None	3	RB1	614041	RB1
3q22.3	"Blepharophimosis, epicanthus inversus, and ptosis, type 2"	110100	AD	3	FOXL2	605597	FOXL2
