Annova gene	Phenotype
ABCA4	RP/LCA
AGBL5	RP/LCA
AIPL1	RP/LCA
ARHGEF18	RP/LCA
ARL6	RP/LCA
BBS2	RP/LCA
BEST1	RP/LCA
C2orf71	RP/LCA
C8orf37	RP/LCA
CA4	RP/LCA
CDHR1	RP/LCA
CEP290	RP/LCA
CERKL	RP/LCA
CLRN1	RP/LCA
CNGA1	RP/LCA
CNGB1	RP/LCA
CRB1	RP/LCA
CRX	RP/LCA
DHDDS	RP/LCA
EYS	RP/LCA
FAM161A	RP/LCA
FSCN2	RP/LCA
GDF6	RP/LCA
GUCA1B	RP/LCA
GUCY2D	RP/LCA
HGSNAT	RP/LCA
IDH3B	RP/LCA
IFT172	RP/LCA
IMPDH1	RP/LCA
IMPG2	RP/LCA
KCNJ13	RP/LCA
KIZ	RP/LCA
KLHL7	RP/LCA
LCA5	RP/LCA
LRAT	RP/LCA
MAK	RP/LCA
MERTK	RP/LCA
NEK2	RP/LCA
NMNAT1	RP/LCA
NR2E3	RP/LCA
NRL	RP/LCA
OFD1	RP/LCA
PDE6A	RP/LCA
PDE6B	RP/LCA
PDE6G	RP/LCA
POMGNT1	RP/LCA
PRCD	RP/LCA
PROM1	RP/LCA
PRPF3	RP/LCA
PRPF31	RP/LCA
PRPF4	RP/LCA
PRPF6	RP/LCA
PRPF8	RP/LCA
PRPH2	RP/LCA
RBP3	RP/LCA
RD3	RP/LCA
RDH12	RP/LCA
REEP6	RP/LCA
RGR	RP/LCA
RHO	RP/LCA
ROM1	RP/LCA
RP1	RP/LCA
RP2	RP/LCA
RP9	RP/LCA
RPE65	RP/LCA
RPGR	RP/LCA
RPGRIP1	RP/LCA
SAG	RP/LCA
SEMA4A	RP/LCA
SLC7A14	RP/LCA
SNRNP200	RP/LCA
SPATA7	RP/LCA
TOPORS	RP/LCA
TTC8	RP/LCA
TULP1	RP/LCA
USH2A	RP/LCA
ZNF408	RP/LCA
ZNF513	RP/LCA
HK1	RP/LCA
IFT140	RP/LCA
