Annova gene	Phenotype MIM number
AAAS	"Allogrove综合征(231550,AR)"
AARS	"腓骨肌萎缩症2E型(607684,AD);腓骨肌萎缩症2N型(613287,AD);婴儿早期癫痫性脑病29型(616339,AR)"
AARS2	"联合氧化磷酸化缺乏症8(614096,AR)"
AASS	"高赖氨酸血症(238700,AR)"
ABAT	"GABA转氨酶缺乏症(613163,AR)"
ABCA1	"Tangier病(205400,AR);低α脂蛋白血症(604091,AD);家族性高胆固醇血症(143890,AD)"
ABCA3	"肺表面活性物质代谢功能障碍3(610921,AR)"
ABCB11	"进行性家族性肝内胆汁淤积症2(601847,AR);良性复发性肝内胆汁淤积症2(605479,AR)"
ABCB4	"进行性家族性肝内胆汁淤积症3(602347,AR)"
ABCB6	"红细胞泄漏家族性假性高钾血症2(609153,AD)"
ABCB7	"铁粒幼细胞性贫血与共济失调(301310,XLR)"
ABCC2	"Dubin-Johnson综合症(237500,AR)"
ABCC8	"家族性高胰岛素低血糖症1(256450,AD,?AR);家族性高胰岛素低血糖症2(601818,AR);家族性高胰岛素低血糖症3(602485,AD);家族性高胰岛素低血糖症4(609975,AR);家族性高胰岛素低血糖症5(609968,AD);新生儿短暂性糖尿病1(601410,AD,AR);新生儿短暂性糖尿病2(610374,AD);永久性新生儿糖尿病(606176,AD)"
ABCD1	"Addison病(,AR);肾上腺脑白质营养不良(300100,XLR)"
ABCD3	"先天性胆汁酸合成缺陷5(616278,AR)"
ABCD4	"甲基丙二酸尿症伴高胱氨酸尿症cblJ型(614857,AR)"
ABHD12	"多发性神经病、听力减退、共济失调、视网膜色素变性伴白内障(612674,AR)"
ABHD5	"Chanarin-Dorfman综合征(275630,AR)"
ACAD8	"异丁酰辅酶A脱氢酶缺乏症(611283,AR)"
ACAD9	"ACAD9缺乏引起的线粒体复合物I缺乏症(611126,AR)"
ACADM	"中链酰基辅酶A脱氢酶缺乏(201450,AR)"
ACADS	"短链酰基辅酶A脱氢酶缺乏症(201470,AR)"
ACADSB	"2-甲基丁酰甘氨酸尿(610006,AR)"
ACADVL	"极长链酰基辅酶A脱氢酶缺乏症(201475,AR)"
ACAT1	"α-甲基乙酰乙酸尿症(203750,AR)"
ACO2	"视神经萎缩9(616289,AR);婴儿小脑视网膜变性(614559,AR)"
