HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
17563	METTL3	methyltransferase like 3	Approved		Spo8, M6A, MT-A70	14q11.2	AF014837	NM_019852		 m6A methyltransferase complex	1419
29330	METTL14	methyltransferase like 14	Approved		KIAA1627	4q26	AB046847	NM_020961		 m6A methyltransferase complex	1419
16846	WTAP	WT1 associated protein	Approved		KIAA0105, MGC3925, Mum2	6q25.3	AJ276706	NM_152857		 m6A methyltransferase complex	1419
24500	VIRMA	vir like m6A methyltransferase associated	Approved	KIAA1429	DKFZP434I116, fSAP121	8q22.1	AB037850	NM_015496		 m6A methyltransferase complex	1419
324	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	Approved		LPAAT-alpha	6p21.32	U56417	NM_006411	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
325	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	Approved	BSCL	LPAAT-beta	9q34.3	AF000237	NM_006412	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
326	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	Approved		LPAAT-gamma	21q22.3	AF156774	NM_020132	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
20885	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	Approved		LPAAT-delta, dJ473J16.2	6q26	AF156776	NM_020133	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
20886	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	Approved		FLJ11210, LPAAT-e, LPAAT-epsilon	8p23.1	AF375789	NM_018361	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
20880	GPAT4	glycerol-3-phosphate acyltransferase 4	Approved	AGPAT6	DKFZp586M1819, LPAAT-zeta, TSARG7	8p11.21	AF406612	NM_178819	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
30059	LPCAT4	lysophosphatidylcholine acyltransferase 4	Approved	AYTL3, AGPAT7	FLJ10257, LPAAT-eta, LPEAT2	15q14	AF542964	NM_153613	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
26756	LCLAT1	lysocardiolipin acyltransferase 1	Approved	LYCAT	FLJ37965, ALCAT1, AGPAT8	2p23.1	AK095284	NM_182551	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
25718	LPCAT1	lysophosphatidylcholine acyltransferase 1	Approved	AYTL2	FLJ12443, AGPAT9, AGPAT10	5p15.33	BC020166	NM_024830	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
26032	LPCAT2	lysophosphatidylcholine acyltransferase 2	Approved	AYTL1	FLJ20481, AGPAT11, LysoPAFAT	16q12.2	AK000488	NM_017839	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
28157	GPAT3	glycerol-3-phosphate acyltransferase 3	Approved	AGPAT9	MGC11324, LPAAT-theta, MAG1, HMFN0839, AGPAT10	4q21.23	AK055749	NM_032717	AGPAT	1-acylglycerol-3-phosphate O-acyltransferases	46
12849	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	Approved	YWHAA		20q13.12	X57346	NM_003404	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
12851	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Approved		FLJ45465	17p13.3	U54778	NM_006761	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
12852	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	Approved		PPP1R170	7q11.23	AF142498	NM_012479	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
12853	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	Approved	YWHA1		22q12.3	X78138	NM_003405	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
12854	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	Approved		HS1, 14-3-3	2p25.1	AF070556	NM_006826	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
12855	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Approved	YWHAD	KCIP-1, 14-3-3-zeta	8q22.3	U28964	NM_145690	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
10773	SFN	stratifin	Approved		YWHAS	1p36.11	BC023552	NM_006142	YWHA	14-3-3 phospho-serine/phospho-threonine binding proteins	1053
44278	RNA18S1	RNA, 18S ribosomal 1	Approved			13p12 not on reference assembly			RNA18S	18S ribosomal RNAs	1383
44279	RNA18S2	RNA, 18S ribosomal 2	Approved			14p12 not on reference assembly			RNA18S	18S ribosomal RNAs	1383
